toi,tfopwg_disp,pl_tranmid,st_tmag,st_logg,TESS Mag,tfopwg_disp_encoded,ratio_eqt_teff,ratio_pl_orbper,ratio_pl_eqt,st_mass_est,log_pl_rade,log_pl_eqt,log_pl_orbper,log_TSM,log_st_teff,log_st_rad,log_Predicted Mass (M_Earth),log_pl_trandurh,log_pl_trandep,log_pl_insol,log_st_dist,log_ESM,log_ratio_pl_st_rad,log_ratio_rade_eqt
1844.01,KP,2459685.398,11.7551,4.61265,11.7551,1,0.1972975818801519,3.453873922257507,0.0120887799432584,0.7324507916325562,2.4929988196853365,6.823286122355687,1.4381887023425979,5.506956231659364,8.44545441051121,0.5306282510621704,4.473351611367244,1.1534160807087837,10.022647417705386,4.7797535466869245,4.968082636175002,4.44500143383527,2.7633934361717354,-4.4153948160712595
1847.01,KP,2459099.822,11.6235,4.53,11.6235,1,0.0955476753160859,0.2532928643499199,0.0185169071783156,0.8513116123598776,2.300653228144219,6.186208623900494,3.596100417013502,4.21803603456465,8.532475814947395,0.6043159668533296,4.108411819433536,1.5824777308513172,9.199380531739841,2.3264930075455226,5.254480414942203,1.8082887711792655,2.3814062960717757,-3.9890170594801524
1848.01,FP,2459661.074,10.5038,4.05,10.5038,0,0.2544318756956893,1.5779056391858215,0.0057387989344798,1.0738964377773594,2.266788989166572,7.318539548567902,1.868861873828688,4.32280727501391,8.68676717538769,0.9631743177730056,4.051437061210824,1.7969128344688496,7.9269635448629785,6.754538829292641,5.696908905713029,3.054001181677967,1.6749442846710931,-5.160331098100458
1853.01,CP,2459690.743,11.3719,4.5,11.3719,1,0.2559974238737728,3.130638506835944,0.0030608018843861,0.8137498936553805,1.5878750969151518,7.149131598557407,0.8080923711180384,4.456670177669648,8.511134876832273,0.6097655716208943,2.738902664584975,0.7934449018753092,7.490529402060711,6.0783988377932054,5.112620118514165,2.8507065015037334,1.533619813481857,-5.788751685216061
1856.01,FP,2459517.339,10.9374,4.44,10.9374,0,0.0562637988647062,0.0612651770185355,0.0382003163348091,1.0044593660777632,2.5704189871122143,5.75890177387728,5.288436841528385,4.109233174715851,8.633624202387907,0.6931471805599453,4.614625344758847,2.120823379458605,9.38437770918244,0.9773632533685517,5.354158802441995,0.832909122935104,2.4908298172052183,-3.26488530493689
1859.01,CP,2460503.687,9.93689,4.26,9.93689,1,0.095869056882951,0.1756271044614864,0.0181292682632044,1.3007338550365837,2.4972880166764053,6.423246963533519,4.16641613541745,4.316153890523174,8.766550149546351,0.8754687373538999,4.474605815966975,1.86516481364433,8.586346050104554,3.2102789776426826,5.417810051032761,2.1162555148025524,2.0749218285108997,-4.010172457678162
1860.01,CP,2460367.148,7.7885,4.51,7.7885,1,0.2672900493529834,1.020719010865785,0.0007183498345093,1.0207003643680304,0.7363503378605935,7.323830566202317,0.7257151400634125,2.740840023925201,8.642768014324304,0.6575200029167942,0.8372475245337022,0.761739972025557,5.0238805208462765,6.777308267616612,3.8472497900853777,1.8718021769015913,0.15718731783081272,-7.237162761537142
1862.01,CP,2459768.447,11.5429,4.1,11.5429,1,0.2185469546404838,2.027969377196697,0.0083002391784026,1.228715076169399,2.521422546361802,7.229861447459517,1.8937459793252884,4.174387269895637,8.75004942158424,0.9692284734170233,4.51688527112052,1.3815320392450052,8.327774752663244,6.751928522038716,6.27097898001779,3.0492730404820207,1.9454659235435758,-4.7913504767207895
1863.01,FP,2458683.899,11.2542,4.31,11.2542,0,0.4492504683870627,6.458347211402198,0.0032013625293008,1.2974189446127908,2.3233989735071727,7.964850887447313,0.8862891516208932,4.835487941050301,8.764834214330834,0.8415671856782186,4.1515122352784415,1.0253244928982774,7.544861068658458,9.340403256274351,5.951766920249436,3.7111300630487563,1.942692243650034,-5.743866451172252
1864.01,KP,2459766.544,12.2856,4.25,12.2856,1,0.3018429353641303,11.580430035965485,0.0104805280470404,1.1300046616769863,2.998408688757399,7.506042178518122,0.972794498145803,4.8338981155962015,8.703506769479729,0.8415671856782186,5.762051382780177,1.2781522025001875,9.868430160720726,7.505206205220581,6.328058204928771,4.663439094112067,2.669623635201423,-4.5581408047025995
1867.01,FP,2458700.974,12.2339,4.14,12.2339,0,0.1582766439670027,1.0699568795238406,0.0185037249106936,1.3705669693808444,3.0142301284361106,6.954638864880987,2.9500395822585848,3.822098297900159,8.797246236703527,0.9745596399981308,5.762051382780177,1.7159577558117731,9.243871855184976,5.301462415692109,6.654222105390978,3.005682604407159,2.4631251823797404,-3.989729178929001
1871.01,FP,2458685.822,11.5906,4.06,11.5906,0,0.2619515389213051,2.526319528871699,0.0055159935862076,1.1677915138830508,2.262278590584899,7.353081920515432,1.4829944835971043,3.9357395320454622,8.692204761910824,0.9820784724121581,4.034948352265444,0.9984235614126774,7.462214939768189,6.894318407202714,6.267661542836422,2.747270914255491,1.6395135879149332,-5.199922207243253
1877.01,FP,2460534.067,12.8746,4.48,12.8746,0,0.2052553296636497,3.795699275461438,0.0116181159326746,1.1235052864717758,2.7362942235418592,7.1252830915107115,1.5689473213270007,3.885679030088544,8.708144074908246,0.6981347220709844,5.762051382780177,1.322289031143978,9.84961197956681,5.983172765101974,6.3395106191818895,3.7184382563554808,2.6593373315917783,-4.4551036119781395
1885.01,CP,2459737.0,11.9742,4.03,11.9742,1,0.1887034659517484,2.1624624134760224,0.0120334183571144,1.210480251026098,2.7180863368548907,7.0707241072602764,2.0207613602445846,4.044804116661965,8.73761303680885,1.0152306797290587,4.871986065758487,1.5638127344078248,8.709630081951286,5.765893050719105,6.331325677792668,3.131136910560194,2.0844922397992645,-4.419984538195066
1888.01,FP,2459328.033,10.4748,4.1,10.4748,0,0.2868730566058032,2.0694058533901662,0.0054099905723798,1.9107008972589976,2.5241273629412815,7.660585461703256,1.879081006446361,4.363098624788362,8.908964972392399,1.1118575154181303,4.519721224155608,1.8581712347473065,8.11701408773731,8.122394989043293,6.259254450754862,3.0587070727153796,1.7276562705397567,-5.219323102629507
